PassengerId,Name,SibSp,Parch,Ticket,Fare_scaled,Sex_male,Embarked_Q,Embarked_S,AgeGroup_10-20,AgeGroup_20-30,AgeGroup_30-40,AgeGroup_40-50,AgeGroup_50-60,AgeGroup_60-70,AgeGroup_70-80,Pclass_1,Pclass_2,Pclass_3,Survived
1,"Braund, Mr. Owen Harris",1,0,A/5 21171,-0.8164322219090124,1,0,1,0,1,0,0,0,0,0,0,0,1,0
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,0,PC 17599,3.5259719389347315,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3,"Heikkinen, Miss. Laina",0,0,STON/O2. 3101282,-0.7706572453176213,0,0,1,0,1,0,0,0,0,0,0,0,1,1
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0,113803,2.292875447298816,0,0,1,0,0,1,0,0,0,0,1,0,0,1
5,"Allen, Mr. William Henry",0,0,373450,-0.7621803978006969,1,0,1,0,0,1,0,0,0,0,0,0,1,0
7,"McCarthy, Mr. Timothy J",0,0,17463,2.2089546568812657,1,0,1,0,0,0,0,1,0,0,1,0,0,0
8,"Palsson, Master. Gosta Leonard",3,1,349909,0.1211071134628137,1,0,1,0,0,0,0,0,0,0,0,0,1,0
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,2,347742,-0.5530870862092357,0,0,1,0,1,0,0,0,0,0,0,0,1,1
10,"Nasser, Mrs. Nicholas (Adele Achem)",1,0,237736,0.7311553126047937,0,0,0,1,0,0,0,0,0,0,0,1,0,1
11,"Sandstrom, Miss. Marguerite Rut",1,1,PP 9549,-0.17558254962953634,0,0,1,0,0,0,0,0,0,0,0,0,1,1
12,"Bonnell, Miss. Elizabeth",0,0,113783,0.4923930347040976,0,0,1,0,0,0,0,1,0,0,1,0,0,1
13,"Saundercock, Mr. William Henry",0,0,A/5. 2151,-0.7621803978006969,1,0,1,1,0,0,0,0,0,0,0,0,1,0
14,"Andersson, Mr. Anders Johan",1,5,347082,0.8128178708438355,1,0,1,0,0,1,0,0,0,0,0,0,1,0
15,"Vestrom, Miss. Hulda Amanda Adolfina",0,0,350406,-0.7754585317512073,0,0,1,1,0,0,0,0,0,0,0,0,1,0
16,"Hewlett, Mrs. (Mary D Kingcome) ",0,0,248706,-0.2230528957243123,0,0,1,0,0,0,0,1,0,0,0,1,0,1
17,"Rice, Master. Eugene",4,1,382652,0.6670160935527378,1,1,0,0,0,0,0,0,0,0,0,0,1,0
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0,345763,-0.08742333545352372,0,0,1,0,0,1,0,0,0,0,0,0,1,0
21,"Fynney, Mr. Joseph J",0,0,239865,0.4550949056296307,1,0,1,0,0,1,0,0,0,0,0,1,0,0
22,"Beesley, Mr. Lawrence",0,0,248698,-0.4264972361304952,1,0,1,0,0,1,0,0,0,0,0,1,0,1
23,"McGowan, Miss. Anna ""Annie""",0,0,330923,-0.7635909452275133,0,1,0,1,0,0,0,0,0,0,0,0,1,1
24,"Sloper, Mr. William Thompson",0,0,113788,1.0993353169158766,1,0,1,0,1,0,0,0,0,0,1,0,0,1
25,"Palsson, Miss. Torborg Danira",3,1,349909,0.1211071134628137,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,5,347077,0.8204470336090675,0,0,1,0,0,1,0,0,0,0,0,0,1,1
31,"Uruchurtu, Don. Manuel E",0,0,PC 17601,0.5717905792866173,1,0,0,0,0,1,0,0,0,0,1,0,0,0
34,"Wheadon, Mr. Edward H",0,0,C.A. 24579,-0.596034186468981,1,0,1,0,0,0,0,0,1,0,0,1,0,0
36,"Holverson, Mr. Alexander Oskar",1,0,113789,2.2182791891498828,1,0,1,0,0,0,1,0,0,0,1,0,0,0
38,"Cann, Mr. Ernest Charles",0,0,A./5. 2152,-0.7621803978006969,1,0,1,0,1,0,0,0,0,0,0,0,1,0
39,"Vander Planke, Miss. Augusta Maria",2,0,345764,-0.08742333545352372,0,0,1,1,0,0,0,0,0,0,0,0,1,0
40,"Nicola-Yarred, Miss. Jamila",1,0,2651,-0.545735964042559,0,0,0,1,0,0,0,0,0,0,0,0,1,1
41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,0,7546,-0.6655443361077601,0,0,1,0,0,1,0,0,0,0,0,0,1,0
42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,0,11668,0.11602100495265918,0,0,1,0,1,0,0,0,0,0,0,1,0,0
44,"Laroche, Miss. Simonne Marie Anne Andree",1,2,SC/Paris 2123,1.5115949283149657,0,0,0,0,0,0,0,0,0,0,0,1,0,1
45,"Devaney, Miss. Margaret Delia",0,0,330958,-0.7737631622478223,0,1,0,1,0,0,0,0,0,0,0,0,1,1
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,0,349237,-0.10098629148060252,0,0,1,1,0,0,0,0,0,0,0,0,1,0
51,"Panula, Master. Juha Niilo",4,1,3101295,1.38330970873284,1,0,1,0,0,0,0,0,0,0,0,0,1,0
52,"Nosworthy, Mr. Richard Cater",0,0,A/4. 39886,-0.7791340928345455,1,0,1,0,1,0,0,0,0,0,0,0,1,0
54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,0,2926,0.4550949056296307,0,0,1,0,1,0,0,0,0,0,0,1,0,1
55,"Ostby, Mr. Engelhart Cornelius",0,1,113509,2.895016443077009,1,0,0,0,0,0,0,0,1,0,1,0,0,0
57,"Rugg, Miss. Emily",0,0,C.A. 31026,-0.596034186468981,0,0,1,0,1,0,0,0,0,0,0,1,0,1
58,"Novel, Mr. Mansouer",0,0,2697,-0.8178427693358288,1,0,0,0,1,0,0,0,0,0,0,0,1,0
59,"West, Miss. Constance Mirium",1,2,C.A. 34651,0.5737707708665707,0,0,1,0,0,0,0,0,0,0,0,1,0,1
60,"Goodwin, Master. William Frederick",5,2,CA 2144,1.8724238104593713,1,0,1,1,0,0,0,0,0,0,0,0,1,0
61,"Sirayanian, Mr. Orsen",0,0,2669,-0.8178427693358288,1,0,0,0,1,0,0,0,0,0,0,0,1,0
64,"Skoog, Master. Harald",3,2,347088,0.5839429878868797,1,0,1,0,0,0,0,0,0,0,0,0,1,0
67,"Nye, Mrs. (Elizabeth Ramell)",0,0,C.A. 29395,-0.596034186468981,0,0,1,0,1,0,0,0,0,0,0,1,0,1
68,"Crease, Mr. Ernest James",0,0,S.P. 3464,-0.7548360571120337,1,0,1,1,0,0,0,0,0,0,0,0,1,0
69,"Andersson, Miss. Erna Alexandra",4,2,3101281,-0.7706572453176213,0,0,1,1,0,0,0,0,0,0,0,0,1,1
70,"Kink, Mr. Vincenz",2,0,315151,-0.720643844967768,1,0,1,0,1,0,0,0,0,0,0,0,1,0
71,"Jenkin, Mr. Stephen Curnow",0,0,C.A. 33111,-0.596034186468981,1,0,1,0,0,1,0,0,0,0,0,1,0,0
72,"Goodwin, Miss. Lillian Amy",5,2,CA 2144,1.8724238104593713,0,0,1,1,0,0,0,0,0,0,0,0,1,0
74,"Chronopoulos, Mr. Apostolos",1,0,2680,-0.3278809828576048,1,0,0,0,1,0,0,0,0,0,0,0,1,0
75,"Bing, Mr. Lee",0,0,1601,2.5231608776825887,1,0,1,0,0,1,0,0,0,0,0,0,1,1
76,"Moen, Mr. Sigurd Hansen",0,0,348123,-0.7893063098548547,1,0,1,0,1,0,0,0,0,0,0,0,1,0
